player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
JeyQuan Smith,175327,WR,USF,12,0,327,61.1,,61.3,3,4,18,0,0,58,19.3,0,0,0,0,0,0,0,,3
Reed Harris,175339,WR,BOSTON COL,12,0,121,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Chris Elko,175360,WR,GA TECH,12,0,176,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Bailey Stockton,175368,WR,GA TECH,10,0,176,,70.9,66.7,0,0,0,0,0,0,,0,6,17,20,1,0,47,7.8,6
Chris Johnson Jr.,175378,HB,SMU,11,0,287,59.6,,59.5,3,1,21,0,0,59,19.7,0,0,0,0,0,0,0,,3
Ray Ray Joseph Jr.,175379,WR,MIAMI FL,3,0,220,,60.5,60.7,0,0,0,0,0,0,,0,1,0,9,0,0,9,9.0,1
Kaleb Cost,175392,CB,N CAROLINA,11,0,245,55.8,60.3,55.2,1,0,9,0,0,9,9.0,1,0,1,0,0,0,0,,1
Chris Culliver,175393,WR,N CAROLINA,6,0,245,58.4,,58.1,5,0,25,0,0,105,21.0,0,0,0,0,0,0,0,,5
Kenny Johnson,175419,WR,PITTSBURGH,12,0,268,75.6,72.7,72.7,4,0,78,0,0,162,40.5,0,13,18,66,1,1,194,14.9,17
Ricardo Cooper Jr.,175447,CB,MARYLAND,12,0,215,57.1,62.7,58.2,4,0,23,0,0,71,17.8,0,2,0,8,0,0,8,4.0,6
Ja'Ricous Hairston,175499,TE,VA TECH,12,0,337,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Deondre Johnson,175506,WR,JVILLE ST,12,0,196,59.9,,59.9,1,0,-12,1,0,-12,-12.0,0,0,0,0,0,0,0,,1
Lonnie Adkism,175610,WR,SM HOUSTON,9,0,281,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
D.J. McKinney,175620,HB,NEW MEXICO,12,0,241,58.6,85.0,72.8,3,0,23,0,0,46,15.3,0,4,3,49,0,1,71,17.8,7
Josh Sagapolutele,175710,LB,HAWAII,12,0,180,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Jacob Godfrey,175734,WR,LA MONROE,11,0,209,54.5,73.2,64.0,2,5,12,0,0,12,6.0,0,9,9,28,0,0,77,8.6,11
Nic Trujillo,175742,WR,LA MONROE,8,0,209,55.9,63.4,57.1,1,11,13,0,0,13,13.0,0,1,2,4,0,0,4,4.0,2
Baylin Brooks,175749,WR,W MICHIGAN,12,0,347,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Leo Kemp,175757,FB,BOWL GREEN,11,0,122,59.9,,59.9,0,1,0,0,0,0,,1,0,0,0,0,0,0,,0
Jordan Napier,175759,WR,S DIEGO ST,10,0,284,67.8,80.1,74.2,11,1,48,0,0,246,22.4,0,23,14,75,2,1,187,8.1,34
Reed Linder,175776,WR,ARK STATE,12,0,113,58.1,,57.8,7,4,20,1,0,89,12.7,1,0,0,0,0,0,0,,7
Duane Thomas Jr.,175797,WR,UCF,12,0,323,58.9,,58.7,6,0,23,0,0,103,17.2,0,0,0,0,0,0,0,,6
Bryson Graves,175806,WR,COAST CAR,12,0,141,,52.7,55.6,0,0,0,0,0,0,,0,13,15,29,2,0,95,7.3,13
Eugene Wilson III,175886,WR,FLORIDA,8,0,163,60.0,61.0,60.3,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0
Marquis Johnson,175906,WR,MISSOURI,12,0,229,62.7,,63.2,3,0,40,0,0,71,23.7,1,0,0,0,0,0,0,,3
Jamal Roberts,175912,HB,MISSOURI,12,0,229,42.7,,39.2,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
DJay Braswell,175920,HB,GA STATE,9,0,175,54.3,,53.1,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Nyck Harbor,175923,WR,S CAROLINA,11,0,289,54.7,,54.2,11,0,52,0,0,270,24.5,0,0,0,0,0,0,0,,11
Tyshawn Russell,175926,WR,SYRACUSE,5,0,304,59.6,,59.5,2,0,24,0,0,36,18.0,0,0,0,0,0,0,0,,2
Vicari Swain,175930,CB,S CAROLINA,12,0,289,60.0,91.2,81.0,0,0,0,0,0,0,,0,19,3,80,2,3,311,16.4,19
Mac Resetich,175962,S,ILLINOIS,12,0,187,63.0,,63.6,1,1,25,0,0,25,25.0,1,0,0,0,0,0,0,,1
Alex Bray,175973,ED,KANSAS,12,0,198,58.0,,57.8,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Coleson Fields,176000,HB,NC STATE,12,0,248,54.2,,53.2,6,0,23,1,0,59,9.8,0,0,0,0,0,0,0,,6
Nick Armentano,176027,WR,SYRACUSE,1,0,304,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Brooks Yurachek,176057,LB,APP STATE,12,0,108,59.9,,59.9,0,1,0,0,0,0,,2,0,0,0,0,0,0,,0
Bryson Hammer,176105,WR,TOLEDO,12,0,316,76.8,91.1,84.1,3,0,52,0,0,97,32.3,0,27,28,54,0,0,328,12.1,30
Ryan Niblett,176181,WR,TEXAS,12,0,311,61.3,91.8,78.8,10,2,25,0,0,198,19.8,0,20,10,79,1,2,448,22.4,30
Quintrevion Wisner,176190,HB,TEXAS,9,0,311,58.4,,58.1,1,0,21,0,0,21,21.0,0,0,0,0,0,0,0,,1
